"Name"	"Area_m2"	"d_m"
"42001"	69866.8388149935	298.256973170599
"4201"	24903.6969777425	178.068446958363
"4207"	53736.2712857835	261.570536543542
"4211"	12363.6639078629	125.466751792281
"4213"	18471.2341846932	153.356792493894
"42161"	512653.644694993	807.917627718491
"4241"	1537412.20755737	1399.10472060551
"4251"	25308478.7893206	5676.59722119283
"42539"	240039841.290089	17482.2257805605
"42547"	7556.27471328283	98.0864301309516
"42559"	7435.74446848809	97.3009964071529
"4256"	2302572.32119452	1712.22841173644
"42563"	10591.3797518565	116.126497981172
"4257"	168082.545093242	462.611438674452
"4259"	29187.558187574	192.776433462905
"42652"	57784962.8534092	8577.53459894002
"42655"	2314.68528155927	54.2876490013862
"42663"	258633.645034317	573.848921282152
"42671"	20787.2020104431	162.687084994767
"42673"	6534.13145373246	91.2113729607774
"42675"	1094396.98639636	1180.43615698556
